Date : 2022-05-31 00:54:23
Directory : c:\Users\elite\Desktop\Code\Android\wco_wrapper
Total : 88 files,  4345 codes, 165 comments, 729 blanks, all 5239 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| app\src\main\res\values-w1240dp                                                                                                                    |          1 |          3 |          0 |          0 |          3 |
| app\src\main\res\values-w600dp                                                                                                                     |          1 |          3 |          0 |          0 |          3 |
| app\src\main\res\xml                                                                                                                               |          2 |          8 |         24 |          0 |         32 |
| gradle                                                                                                                                             |          1 |          5 |          1 |          1 |          7 |
| gradle\wrapper                                                                                                                                     |          1 |          5 |          1 |          1 |          7 |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                           | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\.idea\compiler.xml                                                                                 | XML        |          6 |          0 |          0 |          6 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\.idea\gradle.xml                                                                                   | XML        |         20 |          0 |          0 |         20 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\.idea\misc.xml                                                                                     | XML        |         47 |          0 |          0 |         47 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\.idea\vcs.xml                                                                                      | XML        |          6 |          0 |          0 |          6 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\.idea\gradle.xml                                                                               | XML        |         12 |          0 |          0 |         12 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\.idea\misc.xml                                                                                 | XML        |          9 |          0 |          0 |          9 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\.idea\modules.xml                                                                              | XML        |          8 |          0 |          0 |          8 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\.idea\vcs.xml                                                                                  | XML        |          6 |          0 |          0 |          6 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\build.gradle                                                                                   | Groovy     |         45 |          0 |          6 |         51 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\release\output-metadata.json                                                                   | JSON       |         20 |          0 |          0 |         20 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\AndroidManifest.xml                                                                   | XML        |         27 |          0 |          3 |         30 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\MainActivity.java                                        | Java       |        140 |          9 |         29 |        178 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\classes\CachedContent\SearchCache.java                   | Java       |         32 |          0 |         10 |         42 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\classes\WatchGroup.java                                  | Java       |         50 |          0 |         13 |         63 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\classes\episode\Episode.java                             | Java       |        119 |         12 |         18 |        149 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\classes\series\Series.java                               | Java       |        102 |          3 |         23 |        128 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\classes\series\SeriesControllable.java                   | Java       |         75 |          0 |         13 |         88 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\classes\series\SeriesSearchable.java                     | Java       |         19 |          1 |          5 |         25 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\classes\user_data\WatchData.java                         | Java       |         97 |         10 |         19 |        126 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\classes\user_data\Watchlist.java                         | Java       |         70 |          5 |         13 |         88 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\initialization\NewEpScraper.java                         | Java       |         95 |          2 |         22 |        119 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\episodes\ConnectedEpSearchThread.java                 | Java       |        101 |          3 |         23 |        127 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\episodes\EpisodeAdapter.java                          | Java       |        192 |          2 |         36 |        230 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\episodes\EpisodeSelect.java                           | Java       |        153 |          4 |         33 |        190 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\Home.java                                        | Java       |         74 |          2 |         26 |        102 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\see_all\SeeAllSeries.java                        | Java       |         49 |          2 |         18 |         69 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watch_adapters\ReactiveWatchAdapter.java         | Java       |        126 |          5 |         23 |        154 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watch_adapters\WatchAdapter.java                 | Java       |         73 |          2 |         18 |         93 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\MultigroupAdapter.java               | Java       |        108 |          2 |         23 |        133 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesCard\SeriesCard.java           | Java       |         29 |          3 |          9 |         41 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesCard\SeriesCardGeneric.java    | Java       |         37 |          3 |          9 |         49 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesCard\SeriesCardReflective.java | Java       |         79 |          6 |         19 |        104 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesCard\SeriesCardRespond.java    | Java       |         45 |          7 |         13 |         65 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesGroup\GenericGroup.java        | Java       |         16 |          0 |          4 |         20 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesGroup\LoadableGroup.java       | Java       |         13 |          0 |          6 |         19 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesGroup\NewEpGroup.java          | Java       |         39 |          0 |          8 |         47 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesGroup\ReflectiveGroup.java     | Java       |         19 |          1 |          6 |         26 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesGroup\SeriesGroup.java         | Java       |         25 |          0 |          7 |         32 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\WatchgroupAdapter.java               | Java       |        114 |          2 |         20 |        136 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\search\ConnectedSearchThread.java                     | Java       |         97 |          6 |         18 |        121 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\search\MediaSearch.java                               | Java       |        212 |          4 |         28 |        244 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\search\SearchAdapter.java                             | Java       |        161 |          5 |         29 |        195 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable-v24\ic_launcher_foreground.xml                                           | XML        |         30 |          0 |          0 |         30 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\app_icon_background.xml                                                  | XML        |         74 |          0 |          1 |         75 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_add.xml                                                               | XML        |          5 |          0 |          1 |          6 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_arrow_back.xml                                                        | XML        |          9 |          0 |          1 |         10 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_arrow_right_alt.xml                                                   | XML        |          5 |          0 |          1 |          6 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_done.xml                                                              | XML        |          5 |          0 |          1 |          6 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_home_black_24dp.xml                                                   | XML        |          9 |          0 |          1 |         10 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_launcher_background.xml                                               | XML        |        170 |          0 |          1 |        171 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_navigate_before.xml                                                   | XML        |          5 |          0 |          1 |          6 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_play_arrow.xml                                                        | XML        |          9 |          0 |          1 |         10 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_play_circle.xml                                                       | XML        |          5 |          0 |          1 |          6 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_refresh.xml                                                           | XML        |          5 |          0 |          1 |          6 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_remove_filled.xml                                                     | XML        |          9 |          0 |          1 |         10 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_search.xml                                                            | XML        |          5 |          0 |          1 |          6 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_settings.xml                                                          | XML        |          9 |          0 |          1 |         10 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_skip_next.xml                                                         | XML        |          9 |          0 |          1 |         10 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\activity_main.xml                                                          | XML        |         25 |          0 |          6 |         31 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\content_main.xml                                                           | XML        |         18 |          0 |          1 |         19 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\fragment_episode_select.xml                                                | XML        |        254 |          0 |         32 |        286 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\fragment_home.xml                                                          | XML        |        176 |          0 |         20 |        196 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\fragment_media_search.xml                                                  | XML        |        129 |          0 |         14 |        143 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\fragment_series_see_all.xml                                                | XML        |         30 |          0 |          4 |         34 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\home_display_catagory.xml                                                  | XML        |         95 |          0 |          8 |        103 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\home_recycler_entry.xml                                                    | XML        |        124 |          0 |         16 |        140 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\text_row_item.xml                                                          | XML        |         17 |          0 |          1 |         18 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\menu\menu_main.xml                                                                | XML        |         15 |          0 |          1 |         16 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\mipmap-anydpi-v26\app_icon.xml                                                    | XML        |          5 |          0 |          0 |          5 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\mipmap-anydpi-v26\app_icon_round.xml                                              | XML        |          5 |          0 |          0 |          5 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml                                                 | XML        |          5 |          0 |          0 |          5 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml                                           | XML        |          5 |          0 |          0 |          5 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\navigation\nav_graph.xml                                                          | XML        |         49 |          0 |          0 |         49 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values-land\dimens.xml                                                            | XML        |          3 |          0 |          0 |          3 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values-night\themes.xml                                                           | XML        |         13 |          5 |          2 |         20 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values-w1240dp\dimens.xml                                                         | XML        |          3 |          0 |          0 |          3 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values-w600dp\dimens.xml                                                          | XML        |          3 |          0 |          0 |          3 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values\colors.xml                                                                 | XML        |         17 |          5 |         10 |         32 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values\dimens.xml                                                                 | XML        |          9 |          0 |          0 |          9 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values\strings.xml                                                                | XML        |         86 |          2 |         18 |        106 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values\themes.xml                                                                 | XML        |         22 |          5 |          4 |         31 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\xml\backup_rules.xml                                                              | XML        |          3 |         10 |          0 |         13 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\xml\data_extraction_rules.xml                                                     | XML        |          5 |         14 |          0 |         19 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\build.gradle                                                                                       | Groovy     |          7 |          1 |          1 |          9 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\gradle.properties                                                                                  | Properties |          3 |         21 |          2 |         26 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\gradle\wrapper\gradle-wrapper.properties                                                           | Properties |          5 |          1 |          1 |          7 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\gradlew.bat                                                                                        | Batch      |         68 |          0 |         22 |         90 |
| c:\Users\elite\Desktop\Code\Android\wco_wrapper\settings.gradle                                                                                    | Groovy     |         16 |          0 |          1 |         17 |
| Total                                                                                                                                              |            |      4,345 |        165 |        729 |      5,239 |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
